Player,Pos,GP,GS,MIN,G,A,G+A,YC,RC,MOTM,Career Caps,Career Goals,Career Assists,Career G+A
"Aaronson, Brenden",M,13,8,751,4,3,7,0,0,2,18,5,4,9
"Acosta, Kellyn",M,21,13,1377,0,2,2,2,0,0,50,2,4,6
"Adams, Tyler",M,10,8,768,0,0,0,1,0,2,26,1,0,1
"Arriola, Paul",F,8,7,516,2,1,3,1,0,0,44,9,6,15
"Bassett, Cole",M,1,0,12,1,0,1,0,0,0,1,1,0,1
"Bello, George",D,6,5,400,0,0,0,0,0,0,6,0,0,0
"Busio, Gianluca",M,8,5,480,0,1,1,0,0,0,9,0,1,1
"Brooks, John",D,6,6,496,0,0,0,2,0,0,45,3,0,3
"Cannon, Reggie",D,9,4,417,1,0,1,0,0,0,24,1,2,3
"Cardoso, Johnny",M,1,1,63,0,0,0,0,0,1,3,0,0,0
"Cowell, Cade",F,1,0,12,0,0,0,0,0,0,1,0,0,0
"de la Fuente, Konrad",F,2,1,72,0,0,0,0,0,0,3,0,0,0
"de la Torre, Luca",M,3,0,45,0,1,1,0,0,0,6,0,1,1
"Dest, Sergiño",D,10,9,619,2,1,3,0,0,2,17,2,2,4
"Dike, Daryl",F,8,5,439,3,0,3,0,0,1,8,3,0,3
"Ferreira, Jesús",F,4,2,163,2,3,5,1,0,1,8,3,4,7
"Gioacchini, Nicholas",F,6,0,250,1,2,3,0,0,0,8,3,2,5
"Gomez, Jonathan",D,1,0,6,0,0,0,0,0,0,1,0,0,0
"Herrera, Aaron",D,1,1,64,0,0,0,0,0,0,1,0,0,0
"Hoppe, Matthew",F,6,4,374,1,1,2,0,0,1,6,1,1,2
"Horvath, Ethan",GK,3,2,231,0,0,0,0,0,1,7,0,0,0
"Kessler, Henry",D,2,1,91,0,0,0,0,0,0,2,0,0,0
"Lennon, Brooks",D,1,1,63,0,0,0,0,0,0,1,0,0,0
"Lewis, Jonathan",F,2,2,180,2,0,2,0,0,0,8,2,2,4
"Lletget, Sebastian",M,16,12,1114,4,1,5,0,0,0,33,8,3,11
"Long, Aaron",D,3,3,198,0,1,1,0,0,0,23,3,2,5
"McKenzie, Mark",D,6,6,525,0,1,1,3,0,0,8,0,1,1
"McKennie, Weston",M,7,7,660,2,0,2,2,0,1,31,9,3,12
"Miazga, Matt",D,2,1,91,0,0,0,0,0,0,22,1,2,3
"Moore, Shaq",D,8,6,474,1,0,1,1,0,2,14,1,0,1
"Morris, Jordan",F,1,1,78,0,0,0,0,0,0,45,10,8,18
"Mueller, Chris",F,1,0,26,0,0,0,0,0,0,2,2,1,3
"Musah, Yunus",M,9,8,603,0,2,2,0,0,0,15,0,2,2
"Pefok, Jordan",F,8,2,331,1,0,1,1,0,1,9,1,0,1
"Pepi, Ricardo",F,7,6,424,3,3,6,0,0,2,10,3,3,6
"Perea, Andres",M,1,0,45,0,0,0,0,0,0,1,0,0,0
"Pines, Donovan",D,2,0,86,0,0,0,0,0,0,2,0,0,0
"Pulisic, Christian",M,8,6,541,3,0,3,1,0,2,47,21,9,30
"Ream, Tim",D,5,4,413,0,1,1,0,0,0,46,1,4,5
"Reyna, Gio",F,7,6,469,3,1,4,0,0,0,11,4,1,5
"Reynolds, Bryan",D,2,0,72,0,0,0,0,0,0,2,0,0,0
"Richards, Chris",D,5,2,253,0,0,0,0,0,0,8,0,0,0
"Robinson, Antonee",D,11,8,794,1,1,2,0,0,0,24,2,5,7
"Robinson, Miles",D,13,13,1199,3,0,3,2,1,0,19,3,0,3
"Roldan, Cristian",M,11,2,399,0,2,2,0,0,0,31,0,2,2
"Sands, James",D,7,6,567,0,0,0,0,0,0,7,0,0,0
"Sargent, Josh",F,7,6,416,0,1,1,0,0,0,19,5,1,6
"Steffen, Zack",GK,7,7,609,0,0,0,1,0,0,28,0,0,0
"Tessmann, Tanner",M/D,1,0,12,0,0,0,0,0,0,1,0,0,0
"Turner, Matt",GK,13,13,1200,0,0,0,0,0,2,16,0,0,0
"Weah, Tim",F,8,5,524,1,1,2,0,0,1,21,2,2,4
"Vines, Sam",D,6,5,479,1,1,2,0,0,0,8,1,1,2
"Williamson, Eryk",M,4,2,261,0,1,1,0,0,0,4,0,1,1
"Yedlin, DeAndre",D,9,4,548,0,1,1,2,0,0,72,0,8,8
"Yueill, Jackson",M,8,4,352,0,0,0,0,0,0,16,0,1,1
"Zardes, Gyasi",F,10,4,481,2,1,3,1,0,0,68,14,10,24
"Zimmerman, Walker",D,10,8,683,0,0,0,1,0,1,27,3,1,4
