Player,Pos,GP,GS,MIN,G,A,Y/R,MOTM,Career Caps,Career Goals,Career Assists
"Adams, Tyler",M,1,1,90,0,0,0/0,0,10,1,0
"Altidore, Jozy",F,5,3,264,1,1,1/0,1,115,42,14
"Amon, Jonathan",M,1,0,31,0,0,0/0,0,2,0,0
"Arriola, Paul",M,15,12,1112,3,2,1/0,0,32,5,4
"Baird, Corey",M,4,3,226,0,1,0/0,0,4,0,1
"Boyd, Tyler",F,10,6,510,2,1,0/0,1,10,2,1
"Bradley, Michael",M,9,8,717,0,1,0/0,0,151,17,23
"Brooks, John",D,2,2,180,0,0,0/0,1,38,3,0
"Cannon, Reggie",D,8,6,561,0,1,0/0,0,10,0,1
"Carter-Vickers, Cameron",D,1,0,86,0,0,0/0,0,8,0,0
"Dest, Sergiño",D,3,3,156,0,1,0/0,0,3,0,1
"Ebobisse, Jeremy",M,1,1,66,0,0,0/0,0,1,0,0
"Gonzalez, Omar",D,4,3,271,0,0,0/0,1,52,3,0
"Guzan, Brad",GK,4,4,360,0,0,0/0,0,64,0,0
"Gyau, Joe",F,1,0,18,0,0,0/0,0,3,0,0
"Holmes, Duane",M,2,0,52,0,0,1/0,0,2,0,0
"Horvath, Ethan",GK,1,1,90,0,0,0/0,0,4,0,0
"Johnson, Sean",GK,3,2,196,0,0,0/0,0,8,0,0
"Lewis, Jonathan",M,5,1,126,0,2,0/0,0,5,0,2
"Lima, Nick",D,9,6,596,0,3,0/0,2,9,0,3
"Lletget, Sebastian",M,8,2,333,1,1,0/0,1,13,2,1
"Long, Aaron",D,14,14,1190,3,1,1/0,0,16,3,1
"Lovitz, Daniel",D,13,6,635,0,0,1/0,0,13,0,0
"McKennie, Weston",M,12,12,948,5,3,3/0,2,19,6,3
"Miazga, Matt",D,7,7,612,0,0,0/0,0,18,1,1
"Mihailovic, Djordje",M,5,4,321,1,0,0/0,0,5,1,0
"Morales, Alfredo",M,3,1,131,0,0,1/0,0,16,0,0
"Morris, Jordan",F,14,9,779,5,6,0/0,1,39,10,8
"Pomykal, Paxton",M,1,0,5,0,0,0/0,0,1,0,0
"Pulisic, Christian",M,11,10,762,5,3,0/0,4,34,14,9
"Ramirez, Christian",F,2,0,18,1,0,0/0,0,2,1,0
"Ream, Tim",D,14,14,1210,0,2,0/0,0,40,1,3
"Robinson, Antonee",D,1,1,80,0,0,0/0,0,7,0,2
"Robinson, Miles",D,2,0,57,0,0,0/0,0,2,0,0
"Roldan, Cristian",M,14,10,951,0,0,0/0,0,19,0,0
"Sargent, Josh",F,6,5,458,3,0,1/0,1,12,5,0
"Steffen, Zack",GK,11,11,974,0,0,0/0,1,17,0,0
"Trapp, Wil",M,9,6,490,0,0,1/0,0,20,0,0
"Yedlin, DeAndre",D,5,3,250,0,0,0/0,0,62,0,7
"Yueill, Jackson",M,6,5,420,0,0,0/0,0,6,0,0
"Zardes, Gyasi",M,15,10,884,6,1,0/0,2,55,12,9
"Zimmerman, Walker",D,7,6,553,1,0,2/0,0,11,2,0
